City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
171,Saint-Augustin,CA,51.226,-58.6502,17.94,64,100,19.51,overcast clouds,2021-12-04 08:24:47
172,Buraydah,SA,26.326,43.975,64.85,29,85,5.48,overcast clouds,2021-12-04 08:24:47
173,Inhambane,MZ,-23.865,35.3833,86.45,63,84,11.9,broken clouds,2021-12-04 08:24:48
174,Adrar,MR,20.5022,-10.0711,63.3,23,97,10.65,overcast clouds,2021-12-04 08:24:48
175,Ilebo,CD,-4.3167,20.5833,84.49,63,96,3.29,overcast clouds,2021-12-04 08:24:48
176,Cangucu,BR,-31.395,-52.6756,61.45,95,55,4.83,broken clouds,2021-12-04 08:24:49
177,Narragansett,US,41.4501,-71.4495,35.44,63,90,1.01,overcast clouds,2021-12-04 08:24:49
178,Springdale,US,36.1867,-94.1288,62.04,92,75,0.0,broken clouds,2021-12-04 08:21:55
179,Kovdor,RU,67.5662,30.4758,-5.53,100,97,0.69,overcast clouds,2021-12-04 08:24:50
180,Ibirite,BR,-20.0219,-44.0589,65.71,97,15,3.76,few clouds,2021-12-04 08:24:50
181,Preili,LV,56.2944,26.7246,23.0,91,100,3.62,overcast clouds,2021-12-04 08:25:50
182,Nouakchott,MR,18.0858,-15.9785,66.13,34,97,12.71,overcast clouds,2021-12-04 08:22:51
183,Opuwo,NA,-18.0607,13.84,81.77,34,21,6.64,few clouds,2021-12-04 08:25:51
184,Nizhnevartovsk,RU,60.9344,76.5531,17.62,93,75,4.47,shower snow,2021-12-04 08:25:51
185,Ponta Do Sol,PT,32.6667,-17.1,65.03,73,99,9.13,overcast clouds,2021-12-04 08:25:51
186,Rota,ES,36.6224,-6.3586,43.57,87,0,4.61,clear sky,2021-12-04 08:25:52
187,Pangody,RU,65.85,74.4859,-9.78,92,100,4.85,overcast clouds,2021-12-04 08:25:52
188,Dzilam Gonzalez,MX,21.2833,-88.9333,67.8,90,3,4.32,clear sky,2021-12-04 08:25:52
189,Itacurubi Del Rosario,PY,-24.5,-56.6833,67.03,56,21,4.32,few clouds,2021-12-04 08:25:52
190,Oranjestad,AW,12.524,-70.027,80.71,80,72,20.92,broken clouds,2021-12-04 08:25:53
191,Leningradskiy,RU,69.3833,178.4167,-3.14,83,100,16.13,overcast clouds,2021-12-04 08:25:53
192,Marsh Harbour,BS,26.5412,-77.0636,72.99,63,14,6.53,few clouds,2021-12-04 08:25:53
193,Key West,US,24.5557,-81.7826,71.6,76,1,5.75,clear sky,2021-12-04 08:25:54
194,Koslan,RU,63.4564,48.8989,0.91,81,100,13.33,overcast clouds,2021-12-04 08:25:54
195,Paita,PE,-5.0892,-81.1144,64.65,89,90,9.13,overcast clouds,2021-12-04 08:25:54
196,Humberto De Campos,BR,-2.5983,-43.4611,76.53,92,100,4.88,overcast clouds,2021-12-04 08:25:55
197,Paragominas,BR,-2.9667,-47.4833,71.42,99,97,1.16,overcast clouds,2021-12-04 08:22:02
198,Ferrol,ES,43.4832,-8.2369,54.72,79,36,12.41,scattered clouds,2021-12-04 08:25:55
199,Vila Velha,BR,-20.3297,-40.2925,69.94,93,40,2.3,scattered clouds,2021-12-04 08:25:56
200,Oil City,US,41.4339,-79.7064,34.57,93,75,0.0,broken clouds,2021-12-04 08:25:56
201,Bengkulu,ID,-3.8004,102.2655,82.06,82,100,12.19,light rain,2021-12-04 08:25:56
202,Vieques,PR,18.425,-65.8329,78.91,78,40,0.0,scattered clouds,2021-12-04 08:25:57
203,Lundazi,ZM,-12.2929,33.1782,88.27,28,9,10.33,clear sky,2021-12-04 08:25:57
204,Pimentel,PE,-6.8367,-79.9342,64.26,91,97,10.18,overcast clouds,2021-12-04 08:25:57
205,Valparaiso,CL,-33.0393,-71.6273,49.64,81,0,3.44,clear sky,2021-12-04 08:25:58
206,Aiken,US,33.5835,-81.5998,61.09,86,1,6.91,clear sky,2021-12-04 08:25:58
207,Amot,NO,59.5714,7.9877,16.5,95,100,2.8,overcast clouds,2021-12-04 08:25:58
208,Rey Bouba,CM,8.6724,14.1786,88.68,22,67,2.77,broken clouds,2021-12-04 08:25:58
209,Marsa Matruh,EG,31.3525,27.2453,63.37,54,100,11.81,overcast clouds,2021-12-04 08:25:59
210,Husavik,IS,66.0449,-17.3389,8.51,77,53,10.71,broken clouds,2021-12-04 08:25:59
211,Ypsonas,CY,34.6884,32.9574,63.57,59,90,14.97,overcast clouds,2021-12-04 08:25:59
212,Bahadurganj,IN,26.2667,87.8167,80.82,44,16,2.86,few clouds,2021-12-04 08:26:00
213,Araouane,ML,18.9048,-3.5265,66.69,21,11,13.18,few clouds,2021-12-04 08:26:00
214,General Pico,AR,-35.6566,-63.7568,60.26,97,100,5.73,overcast clouds,2021-12-04 08:26:00
215,Olafsvik,IS,64.8945,-23.7142,35.91,75,55,6.42,broken clouds,2021-12-04 08:26:01
216,Zabol,AF,32.25,67.25,54.48,18,0,1.48,clear sky,2021-12-04 08:26:01
217,Ongole,IN,15.5,80.05,83.19,54,100,8.05,overcast clouds,2021-12-04 08:22:28
218,Chapais,CA,49.7834,-74.8492,-4.22,100,92,3.83,overcast clouds,2021-12-04 08:26:02
219,Mezen,RU,65.8522,44.24,-1.28,94,16,6.73,few clouds,2021-12-04 08:26:02
220,Salalah,OM,17.0151,54.0924,84.29,39,0,11.5,clear sky,2021-12-04 08:26:02
221,Saint-Pierre,RE,-21.3393,55.4781,89.19,69,0,11.5,clear sky,2021-12-04 08:26:03
222,Westport,US,41.1415,-73.3579,38.95,78,90,1.99,overcast clouds,2021-12-04 08:23:39
223,Vestmannaeyjar,IS,63.4427,-20.2734,33.01,75,21,12.12,few clouds,2021-12-04 08:26:03
224,Bati,ET,11.1833,40.0167,69.3,42,4,7.38,clear sky,2021-12-04 08:26:03
225,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,31,0,6.91,clear sky,2021-12-04 08:23:31
226,Ostrovnoy,RU,68.0531,39.5131,19.02,89,100,3.2,light snow,2021-12-04 08:27:04
227,Camapua,BR,-19.5314,-54.0439,72.0,78,11,3.49,few clouds,2021-12-04 08:27:04
228,Hofn,IS,64.2539,-15.2082,30.22,55,0,9.8,clear sky,2021-12-04 08:27:05
229,Gerede,TR,40.8008,32.1969,43.43,62,98,8.68,overcast clouds,2021-12-04 08:27:05
230,Burshtyn,UA,49.2587,24.6278,25.21,83,5,5.48,clear sky,2021-12-04 08:27:05
