City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Nicoya,CR,2021-11-28 04:06:41,10.1483,-85.452,78.35,84,27,6.13
139,Sahibganj,IN,2021-11-28 04:06:41,25.25,87.65,72.57,55,76,3.36
140,Oksfjord,NO,2021-11-28 04:06:41,70.2396,22.3479,18.52,89,24,12.46
141,Codrington,AU,2021-11-28 04:02:30,-38.2667,141.9667,65.07,60,0,14.41
142,Yar-Sale,RU,2021-11-28 04:06:42,66.8333,70.8333,-8.84,97,68,9.75
143,Touros,BR,2021-11-28 04:06:42,-5.1989,-35.4608,77.9,73,96,11.88
144,Narsaq,GL,2021-11-28 04:06:42,60.9167,-46.05,37.62,100,100,1.1
145,Cobija,BO,2021-11-28 04:06:43,-11.0267,-68.7692,72.61,97,100,2.48
146,Loanda,AO,2021-11-28 04:06:43,-8.8368,13.2343,75.2,94,75,8.05
147,Salinas,US,2021-11-28 04:06:43,36.6777,-121.6555,57.72,55,1,0.0
148,Dunda,TZ,2021-11-28 04:06:44,-8.1167,34.25,67.24,75,93,0.92
149,Albanel,CA,2021-11-28 04:06:44,48.8832,-72.4487,23.92,74,100,17.4
150,Gravdal,NO,2021-11-28 04:04:27,68.1214,13.5031,32.02,89,96,3.29
151,Mana,GF,2021-11-28 03:59:47,5.6592,-53.7767,77.4,89,93,7.25
152,Sao Joao Da Barra,BR,2021-11-28 04:03:46,-21.6403,-41.0511,72.27,84,51,9.17
153,Wawa,NG,2021-11-28 04:06:45,9.9022,4.4192,72.25,30,96,1.05
154,Rostovka,RU,2021-11-28 04:06:45,55.3842,71.8891,17.65,92,98,11.12
155,Puerto Colombia,CO,2021-11-28 04:06:46,10.9878,-74.9547,80.69,83,45,18.45
156,Puerto Narino,CO,2021-11-28 04:06:46,-3.7703,-70.3831,75.15,96,92,3.24
157,Virginia Beach,US,2021-11-28 04:01:58,36.8529,-75.978,33.84,52,15,9.69
158,Klaksvik,FO,2021-11-28 04:06:47,62.2266,-6.589,25.72,62,99,6.69
159,Cidreira,BR,2021-11-28 04:06:47,-30.1811,-50.2056,69.37,95,92,3.36
160,Banda Aceh,ID,2021-11-28 04:06:47,5.5577,95.3222,78.93,85,99,9.13
161,Biggar,GB,2021-11-28 04:06:48,55.6167,-3.5167,33.39,74,79,3.65
162,Parrita,CR,2021-11-28 04:06:48,9.5201,-84.3225,80.37,86,59,2.59
163,Lasa,IT,2021-11-28 04:06:48,46.6166,10.7002,29.14,95,100,6.71
164,Ilinskiy,RU,2021-11-28 04:06:49,55.619,38.1182,41.58,93,75,13.42
165,Sorrento,IT,2021-11-28 04:06:49,40.626,14.3744,55.53,71,88,25.64
166,Harstad,NO,2021-11-28 04:06:49,68.799,16.5293,18.63,74,13,11.9
167,Great Yarmouth,GB,2021-11-28 03:59:57,52.6083,1.7305,41.25,77,100,30.4
168,Angoche,MZ,2021-11-28 03:59:50,-16.2325,39.9086,77.38,60,98,11.83
169,At-Bashi,KG,2021-11-28 03:59:53,41.1702,75.8106,17.92,57,1,4.85
170,Ilulissat,GL,2021-11-28 04:06:50,69.2167,-51.1,23.02,63,100,17.27
171,Gat,IL,2021-11-28 04:06:51,31.61,34.7642,54.28,37,14,3.62
172,Derzhavinsk,KZ,2021-11-28 04:02:14,51.1,66.3167,4.03,79,8,6.11
173,Gari,RU,2021-11-28 04:06:51,59.4307,62.3497,24.84,93,97,9.22
174,Diffa,NE,2021-11-28 04:06:52,13.3154,12.6113,70.18,31,43,9.46
175,Uruacu,BR,2021-11-28 04:06:52,-14.5247,-49.1408,70.61,94,85,2.08
176,Esna,EG,2021-11-28 04:06:52,25.2934,32.554,68.31,21,3,7.25
177,Togur,RU,2021-11-28 04:06:52,58.3631,82.8265,27.48,91,99,13.27
178,Vilhena,BR,2021-11-28 04:02:21,-12.7406,-60.1458,69.12,96,98,3.38
179,Richards Bay,ZA,2021-11-28 04:06:53,-28.783,32.0377,67.41,75,58,18.75
